,Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
91,Vegetable,Precocibec,25,5,20,0.4,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Region A"",""Region B"",""Region C""]","[""Spring"",""Summer""]",40,35,20,24,"[""NPK 10-10-10"",""Compost""]",2,24,12,1,precocibec
92,Flowering Perennial,Pride of Wisconsin,20,5,15,0.3,2,6000,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Wisconsin"",""Minnesota"",""Michigan""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,20,48,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4,24,12,1,pride of wisconsin
93,Flowering Plant,Prilep,25,5,20,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean Region"",""Balkan Peninsula"",""Central Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,1,prilep
94,Flower,Primary Colors,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,10,48,"[""NPK"",""Compost""]",4,24,12,0.5,primary colors
95,Tomato,Principe Borghese,24,4,20,0.3,5,600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Southern Europe"",""North America""]","[""Spring"",""Summer""]",30,38,20,36,"[""NPK 10-10-10"",""Organic compost""]",2,60,24,1,principe borghese
96,Fruit,Prune Noire,25,5,20,0.2,3,6000,60,"[""loamy"",""sandy loam""]","[""Mediterranean region"",""California"",""South Africa""]","[""Spring"",""Summer""]",40,40,20,48,"[""nitrogen"",""phosphorus"",""potassium""]",8,100,36,6,prune noire
97,Fruit Tree,Prune Rouge,20,5,18,0.3,2,3600,70,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Temperate""]","[""Late Spring"",""Summer""]",30,38,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,120,144,2,prune rouge
98,Flowering Plant,Purple Ball,25,5,20,0.5,3,6000,60,"[""Loam"",""Sandy Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,24,"[""NPK fertilizer"",""Organic compost""]",4,24,12,2,purple ball
99,Flowering Plant,Purple Cape,25.6,4.9,22.3,0.25,2.1,28800,65,"[""Loam"",""Sandy Loam""]","[""Tropical Regions"",""Humid Subtropical Regions""]","[""Late Spring"",""Summer""]",40,35,30,24,"[""All-Purpose Fertilizer"",""Organic Compost""]",4,18,12,0.5,purple cape
100,Herb,Purple Dark Opal,22,5,18,0.4,4,3600,60,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Subtropical""]","[""Spring"",""Summer""]",30,35,15,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,purple dark opal
101,Vegetable,Purple de milpa,27.5,5.6,25.2,0.28,4.3,43200,75,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mexico"",""Central America"",""South America""]","[""Start of summer"",""Rainy season"",""Early autumn""]",30,40,50,24,"[""Compost"",""Organic fertilizer""]",4,36,12,2,purple de milpa
102,Vegetable,Purple Russian,20,5,18,0.4,3,6000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""Moderate Climate"",""Cool Climate""]","[""Late Spring"",""Early Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,1,purple russian
103,Flowering plant,Queen of Sheba,20 °C,5 mm,25 °C,0.3 m³/m³,3 mm/day,600 seconds,60%,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30 km/h,35 °C,20 mm,48 hours,"[""NPK fertilizer"",""Organic compost""]",4 weeks,24 in,12 in,1 in,queen of sheba
104,Flowering Plant,Quetzali,25,10,20,0.3,5,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""Compost""]",4,36,24,1,quetzali
105,Flowering Plant,Queue de Renard Blanche,20,5,18,0.3,3,600,60,"[""Loam"",""Sandy"",""Clay""]","[""Mediterranean region"",""Temperate climate areas""]","[""Start of spring"",""Summer"",""Autumn""]",40,35,10,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,1,queue de renard blanche
106,Fruit,Raisin Vert,25,5,20,0.3,3,6000,70,"[""Sandy loam"",""Loamy sand""]","[""Mediterranean region"",""California"",""Australia""]","[""Spring"",""Summer""]",40,40,20,48,"[""Organic compost"",""NPK fertilizers""]",4,60,24,1,raisin vert
107,Flowering Plant,Rave de Margeride,20,5,18,0.3,3,18000,60,"[""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,2,rave de margeride
108,Perennial,Rave de Treignac,15,5,10,0.25,2,6000,70,"[""Loamy"",""Sandy loam""]","[""France"",""Europe""]","[""Spring"",""Autumn""]",40,30,10,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,12,24,6,rave de treignac
109,Vegetable,Red Brandywine,18,5,15,0.3,3,6000,60,"[""Sandy loam"",""Silt loam"",""Clay loam""]","[""Mediterranean region"",""California"",""Pacific Northwest""]","[""Start summer"",""Mid-summer"",""Late summer""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,36,1,red brandywine
110,Flowering Plant,Red Bull,22,5,18,0.3,3,600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Coastal regions"",""Mediterranean climate areas""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""Compost""]",4,36,24,2,red bull
111,Ornamental Plant,Red Burgundy,22,5,18,0.3,4,3000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",30,35,15,24,"[""Organic compost"",""Slow-release granules""]",4,24,12,0.5,red burgundy
112,Fruit Plant,Red Centiflor Cherry,25,5,20,0.3,4,6000,60,"[""Loam"",""Sandy Loam"",""Clay"",""Silt""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer""]",40,35,30,48,"[""NPK 10-10-10"",""Compost""]",4,120,36,2,red centiflor cherry
113,Tree,Red Cluster Pear Hypertress,22.5,8.7,18.3,0.25,5.2,28800,65,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Mediterranean region"",""Eastern United States"",""South America""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120,144,6,red cluster pear hypertress
114,Fruit Plant,Red Fig,25,5,20,0.3,4,5000,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""California"",""Greece""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6,120,36,2,red fig
115,Shrub,Red Robin,18,5,15,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean regions"",""Temperate regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",8,72,36,0.5,red robin
116,Flowering Plant,Red Scarlet,25,10,20,0.4,5,5000,60,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Spring""]",30,35,50,48,"[""NPK"",""Compost""]",4,24,12,1,red scarlet
117,Perennial,Red Siberian,20,5,15,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Siberia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,red siberian
118,Ornamental Plant,Red Spider,20,5,15,0.3,4,600,60,"[""Loam"",""Sandy""]","[""Tropical regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Autumn""]",30,40,50,48,"[""Organic compost"",""Liquid fertilizer""]",4,12,12,0.5,red spider
119,Flowering Plant,Red Ursa,25,10,20,0.3,5,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Summer""]",40,35,50,48,"[""NPK 10-10-10"",""Compost""]",4,36,12,2,red ursa
120,Vegetable,Red Warty Thing,25,5,20,0.3,3,3600,60,"[""loamy"",""sandy""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Compost""]",3,12,24,1,red warty thing
121,Tomato,Red Zebra,22,5,15,0.3,4,3600,70,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Compost""]",2,60,24,0.5,red zebra
122,Flowering Plant,Redcrest,25,5,20,0.3,4,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Monsoon""]",40,40,50,48,"[""NPK"",""Organic compost""]",4,24,12,1,redcrest
123,Flowering plant,Reif Red,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Mediterranean climates""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,30,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,1,"reif
red"
124,Vegetable,Relleno Rouge,25,5,20,0.3,3,3000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Rainy season""]",30,35,50,48,"[""Nitrogen-based"",""Phosphorus-based""]",4,24,12,2,relleno rouge
125, ,reux,25,10,20,0.3,5,3000,60,"[""sandy loam"",""clay loam"",""silt loam""]","[""abc"",""bca"",""xyz""]","[""Summer"",""Monsoon""]",30,40,30,48,"[""abx"",""afn""]",4,24,12,2,reux
126,Ornamental plant,Rheinau Gold,25 °C,5 mm,20 °C,0.3 m³/m³,3 mm/day,600 seconds,60%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Garden beds"",""Containers"",""Rock gardens""]","[""Summer"",""Spring"",""Autumn""]",30 km/h,35 °C,20 mm,24 hours,"[""Organic compost"",""Liquid seaweed fertilizer""]",4 weeks,24 inches,12 inches,1 inch,rheinau gold
127,Ornamental Plant,Ring of Fire,25 °C,5 mm,20 °C,0.3 m³/m³,3 mm/day,600 seconds,60%,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Fall""]",40 km/h,35 °C,20 mm,12 hours,"[""All-purpose fertilizer"",""Slow-release granular fertilizer""]",4 weeks,24 inches,12 inches,0.5 inches,ring of fire
128,Flowering Plant,Rio Grande,25,5,20,0.4,3,3000,60,"[""Loam"",""Sandy"",""Clay""]","[""Southern United States"",""Mexico"",""Central America""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK"",""Compost"",""Bone Meal""]",4,36,24,0.5,rio grande
129,Fruit,Rocky Ford Green Flesh,25,5,20,0.3,3,300,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Colorado"",""Arizona"",""California""]","[""Start summer"",""Mid-summer"",""Late summer""]",40,35,20,24,"[""NPK 10-10-10"",""Organic compost""]",4,12,24,1,rocky ford green flesh
130,Flowering Plant,Roi Humbert,25,5,20,0.3,4,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",40,35,20,48,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,24,12,0.5,roi humbert
131,Vegetable,Roma Paste,25,5,20,0.3,4,3000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Northern Italy"",""Southern Europe""]","[""Spring"",""Summer""]",20,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,36,12,2,roma paste
132,Flower,Roman Candle,23,5,18,0.3,4,6000,50,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Late Spring"",""Summer"",""Early Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,36,12,0.5,roman candle
133,Vegetable,Ronde de Nice,20,5,18,0.3,4,24000,60,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Southern Europe""]","[""Spring"",""Summer""]",40,35,20,Every 2 days,"[""Compost"",""Manure""]",2,12,24,0.5,ronde de nice
134,Vegetable,Ronde de Piacenza,18,5,15,0.25,3,3600,60,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Start of spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,12,12,1,ronde de piacenza
135,Fruit,Ronde de Valence,21,3,18,0.3,4,600,65,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""France"",""Spain"",""Italy""]","[""Spring"",""Summer"",""Fall""]",30,35,10,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,36,1,ronde de valence
136,Vegetable,ropreco paste,25,5,20,0.2,3,18000,70,"[""sandy loam"",""clay"",""silt""]","[""Mediterranean region"",""Southwest United States"",""Australia""]","[""Start summer"",""spring"",""fall""]",40,35,50,24,"[""nitrogen"",""phosphorus"",""potassium""]",2,40,12,1,ropreco paste
137,Fruit,Rose de Berne,18,2,15,0.3,4,3000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean climates"",""Temperate regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""NPK fertilizer""]",4,60,24,0.5,rose de berne
138,Tomato,Rosso Duemila,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Subtropical regions"",""Warm temperate regions""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",2,60,24,1,rosso duemila
139,Vegetable,Rosso Sicilian,25,5,22,0.4,4,6000,60,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Southern Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3,12,12,1,rosso sicilian
140,Flowering Plant,Rostov,25,10,20,0.4,5,6000,60,"[""Clay"",""Loam"",""Sandy""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Spring"",""Summer""]",30,35,50,48,"[""NPK"",""Compost""]",4,36,12,1,rostov
141,Vegetable,Rotunda Gogoshari,20-25,5-10,18-22,0.25-0.35,4-6,6-8,50-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Eastern Europe"",""Western Asia""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48-72,"[""NPK 10-10-10"",""Compost""]",4-6,18-24,12-16,1-2,rotunda gogoshari
142,Flowering plant,Rou,25 °C,10 mm,20 °C,0.3 m³/m³,5 mm/day,3000 seconds,70%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Late spring"",""Early autumn""]",20 km/h,35 °C,50 mm,48 hours,"[""NPK"",""Compost""]",4 weeks,24 in,12 in,1 in,rou
143,Flowering Plant,Rouge,25,5,20,0.4,2,6000,60,"[""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Summer""]",40,35,30,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,rouge
144,Flowering plant,Rouge Carmin,20-25,5-10,18-22,0.2-0.3,2-4,6-8,40-60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Temperate climates""]","[""Spring"",""Summer""]",20,35,30,24,"[""NPK 10-10-10"",""Organic compost""]",4-6,24,12,1,rouge carmin
145,Fruit,Rouge de Cavaillon,20 °C,5 mm,18 °C,0.3 m³/m³,3 mm/day,8 hours,60%,"[""Sandy loam"",""Loam""]","[""Provence"",""Cavaillon"",""France""]","[""Start in summer"",""Harvest in autumn""]",30 km/h,35 °C,10 mm,Every 2-3 days,"[""Organic compost"",""Nitrogen-rich fertilizer""]",Every 4 weeks,24 in,36 in,1 in,rouge de cavaillon
146,Vegetable,Rouge de Namur,15,5,18,0.3,4,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Start of summer"",""Spring"",""Autumn""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost"",""Fish emulsion""]",4,24,12,1,rouge de namur
147,Vegetable,Rouge de Russie,20,5,18,0.3,4,12000,60,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Temperate""]","[""Start of summer"",""Mid-summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,1,rouge de russie
148,Flowering plant,Round Mauve,25,5,20,0.3,3,3600,60,"[""loam"",""sandy loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,10,48,"[""nitrogen-based"",""phosphorus-based""]",4,24,12,1,round mauve
149,Flowering Plant,Royal Golden,25,5,20,0.3,4,3000,70,"[""Loam"",""Sandy Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,1,royal golden
150,Flower,Royal Purple,20,5,18,0.4,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean climate regions"",""Temperate regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",4,24,12,0.5,royal purple
151,Flowering Plant,Rubin,25,5,20,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Garden"",""Balcony"",""Greenhouse""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,1,rubin
152,Flower,Ruby Gold,22,5,18,0.25,3,6000,60,"[""Loam"",""Sandy loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Summer""]",40,35,20,24,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,ruby gold
153,Vegetable,Ruby King,20,5,15,0.4,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,30,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer"",""Phosphorus-based fertilizer""]",3,36,24,0.5,ruby king
154,Vegetable,Rugoso di Cosenza,20,5,18,0.3,3,600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Southern Italy"",""Mediterranean regions""]","[""Start of summer"",""Late spring"",""Early autumn""]",30,35,20,48,"[""Manure"",""Compost""]",4,24,12,2,rugoso di cosenza
155,Vegetable,Russian Giant,18,5,15,0.3,4,60000,60,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Eastern Europe"",""Russia"",""Northern China""]","[""Spring"",""Summer""]",30,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,120,24,2,russian giant
156,Fruit,Russian Persimmon,18,5,15,0.3,4,3600,50,"[""Loam"",""Sandy Loam"",""Clay""]","[""Eastern Europe"",""Central Asia"",""Caucasus""]","[""Late Spring"",""Summer"",""Early Fall""]",40,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120,36,2,russian persimmon
157,Ornamental Plant,Rutgers Obsession,18 - 25,5 - 10,15 - 20,0.3 - 0.5,2 - 4,6 - 8,40 - 60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Garden Beds"",""Containers"",""Pots""]","[""Spring"",""Summer"",""Autumn""]",20,35,20,24 - 48,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4 - 6,12,12,0.5,rutgers obsession
158,Ornamental,Ruvien,25,5,20,0.3,4,3600,60,"[""Sandy loam"",""Clay loam"",""Silty loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,30,24,"[""NPK fertilizer"",""Organic compost""]",4,12,12,1,ruvien
159,Blond,S Blond,20,5,18,0.3,3,3600,70,"[""loam"",""sandy loam"",""clay""]","[""Region A"",""Region B"",""Region C""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Fertilizer A"",""Fertilizer B""]",4,36,12,2,s blond
160,Flowering Plant,S Dream,25,10,20,0.4,5,5000,60,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Subtropical regions"",""Mediterranean regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",2,24,36,1,s dream
161,Fruit,S Early Orange,25,5,20,0.3,3,3600,60,"[""Sandy loam"",""Loamy sand"",""Silt loam""]","[""Mediterranean region"",""Subtropical regions""]","[""Spring"",""Summer""]",30,40,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,120,24,2,s early orange
162,Vegetable,S German Green,15-25,5-10,10-20,0.2-0.4,3-5,18000-22000,40-60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Germany"",""Austria"",""Switzerland""]","[""Spring"",""Summer"",""Autumn""]",20,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-3,24,12,0.5,s german green
163,Fruit,S Grape,18°C,5mm,15°C,0.3 m³/m³,4mm/day,600 seconds,60%,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""California"",""Italy""]","[""Spring"",""Summer""]",30 km/h,35°C,20mm,48 hours,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks,60 in,36 in,2 in,s grape
164,Herbaceous plant,S hoof,25,10,20,0.3,5,6000,70,"[""sandy loam"",""clay loam"",""silt loam""]","[""temperate regions"",""subtropical regions""]","[""Spring"",""Summer""]",30,35,50,24,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer"",""potassium-based fertilizer""]",4,24,12,1,s hoof
165,Herb,S Paste,25,5,20,0.3,3,3600,60,"[""Loam"",""Sandy"",""Clay""]","[""Tropical"",""Subtropical"",""Mediterranean""]","[""Year round"",""Spring"",""Autumn""]",20,35,10,48,"[""NPK"",""Compost""]",4,12,24,1,s paste
166,Flowering Plant,S Purple,25,10,20,0.4,5,300,60,"[""Loam"",""Sandy"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Late spring"",""Early autumn""]",20,35,50,24,"[""NPK"",""Compost""]",4,36,12,2,s purple
167,Annual Flower,S Purple Haze,22,5,18,0.3,4,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",25,32,10,48,"[""NPK 10-10-10"",""Compost"",""Fish Emulsion""]",4,24,12,0.5,s purple haze
168,Round,S Round,25 °C,10 mm,20 °C,0.2 m³/m³,5 mm/day,300 seconds,70%,"[""sandy loam"",""loamy sand"",""silt loam""]","[""abc"",""bca"",""xyz""]","[""Start summer"",""abc"",""xyz""]",25 km/h,35 °C,50 mm,48 hours,"[""abx"",""afn""]",4 weeks,12 in,12 in,1 in,s round
169,Ornamental Plant,S Snowflakes,20,5,18,0.3,4,600,60,"[""Sandy loam"",""Clay loam"",""Loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Spring"",""Summer""]",30,35,10,48,"[""NPK fertilizers"",""Organic compost""]",4,12,24,0.5,s snowflakes
170,Perennial,S Wild Cherry,20,5,18,0.3,3,5000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,24,1,s wild cherry
171,Flowering Plant,Saint Pierre,25,10,20,0.3,5,6000,70,"[""Sandy loam"",""Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",40,35,50,24,"[""Organic compost"",""Liquid fertilizer""]",4,24,12,2,saint pierre
172,Vegetable,Salt and Pepper,20,5,15,0.4,3,3600,60,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Southern Europe"",""Central Asia""]","[""Spring"",""Summer""]",30,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,0.5,salt and pepper
